,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,IsAlone,AgeGroup,Title,Embarked_C,Embarked_Q,Embarked_S
0,0,3,0,22,1,0,7.25,1,1,"[20, 40)",Mr,0,0,1
1,1,1,1,38,1,0,71.283302,1,1,"[20, 40)",Mrs,1,0,0
2,1,3,1,26,0,0,7.9250002,0,0,"[20, 40)",Miss,0,0,1
3,1,1,1,35,1,0,53.099998,1,1,"[20, 40)",Mrs,0,0,1
4,0,3,0,35,0,0,8.0500002,0,0,"[20, 40)",Mr,0,0,1
5,0,3,0,24,0,0,8.4582996,0,0,"[20, 40)",Mr,0,1,0
6,0,1,0,54,0,0,51.862499,0,0,"[40, 60)",Mr,0,0,1
7,0,3,0,2,3,1,21.075001,4,0,"[0, 20)",Master,0,0,1
8,1,3,1,27,0,2,11.1333,2,0,"[20, 40)",Mrs,0,0,1
9,1,2,1,14,1,0,30.070801,1,1,"[0, 20)",Mrs,1,0,0
10,1,3,1,4,1,1,16.700001,2,0,"[0, 20)",Miss,0,0,1
11,1,1,1,58,0,0,26.549999,0,0,"[40, 60)",Miss,0,0,1
12,0,3,0,20,0,0,8.0500002,0,0,"[20, 40)",Mr,0,0,1
13,0,3,0,39,1,5,31.275,6,0,"[20, 40)",Mr,0,0,1
14,0,3,1,14,0,0,7.8541999,0,0,"[0, 20)",Miss,0,0,1
15,1,2,1,55,0,0,16.0,0,0,"[40, 60)",Mrs,0,0,1
16,0,3,0,2,4,1,29.125,5,0,"[0, 20)",Master,0,1,0
17,1,2,0,31,0,0,13.0,0,0,"[20, 40)",Mr,0,0,1
18,0,3,1,31,1,0,18.0,1,1,"[20, 40)",Mrs,0,0,1
19,1,3,1,29,0,0,7.2249999,0,0,"[20, 40)",Mrs,1,0,0
20,0,2,0,35,0,0,26.0,0,0,"[20, 40)",Mr,0,0,1
21,1,2,0,34,0,0,13.0,0,0,"[20, 40)",Mr,0,0,1
22,1,3,1,15,0,0,8.0291996,0,0,"[0, 20)",Miss,0,1,0
23,1,1,0,28,0,0,35.5,0,0,"[20, 40)",Mr,0,0,1
24,0,3,1,8,3,1,21.075001,4,0,"[0, 20)",Miss,0,0,1
25,1,3,1,38,1,5,31.387501,6,0,"[20, 40)",Mrs,0,0,1
26,0,3,0,29,0,0,7.2249999,0,0,"[20, 40)",Mr,1,0,0
27,0,1,0,19,3,2,263.0,5,0,"[0, 20)",Mr,0,0,1
28,1,3,1,22,0,0,7.8792,0,0,"[20, 40)",Miss,0,1,0
29,0,3,0,27,0,0,7.8958001,0,0,"[20, 40)",Mr,0,0,1
30,0,1,0,40,0,0,27.7208,0,0,"[40, 60)",Valued Profession,1,0,0
31,1,1,1,35,1,0,146.5208,1,1,"[20, 40)",Mrs,1,0,0
32,1,3,1,35,0,0,7.75,0,0,"[20, 40)",Miss,0,1,0
33,0,2,0,66,0,0,10.5,0,0,"[60, 80)",Mr,0,0,1
34,0,1,0,28,1,0,82.170799,1,1,"[20, 40)",Mr,1,0,0
35,0,1,0,42,1,0,52.0,1,1,"[40, 60)",Mr,0,0,1
36,1,3,0,22,0,0,7.2291999,0,0,"[20, 40)",Mr,1,0,0
37,0,3,0,21,0,0,8.0500002,0,0,"[20, 40)",Mr,0,0,1
38,0,3,1,18,2,0,18.0,2,0,"[0, 20)",Miss,0,0,1
39,1,3,1,14,1,0,11.2417,1,1,"[0, 20)",Miss,1,0,0
40,0,3,1,40,1,0,9.4750004,1,1,"[40, 60)",Mrs,0,0,1
41,0,2,1,27,1,0,21.0,1,1,"[20, 40)",Mrs,0,0,1
42,0,3,0,27,0,0,7.8958001,0,0,"[20, 40)",Mr,1,0,0
43,1,2,1,3,1,2,41.579201,3,0,"[0, 20)",Miss,1,0,0
44,1,3,1,19,0,0,7.8792,0,0,"[0, 20)",Miss,0,1,0
45,0,3,0,30,0,0,8.0500002,0,0,"[20, 40)",Mr,0,0,1
46,0,3,0,33,1,0,15.5,1,1,"[20, 40)",Mr,0,1,0
47,1,3,1,35,0,0,7.75,0,0,"[20, 40)",Miss,0,1,0
48,0,3,0,22,2,0,21.679199,2,0,"[20, 40)",Mr,1,0,0
49,0,3,1,18,1,0,17.799999,1,1,"[0, 20)",Mrs,0,0,1
50,0,3,0,7,4,1,39.6875,5,0,"[0, 20)",Master,0,0,1
51,0,3,0,21,0,0,7.8000002,0,0,"[20, 40)",Mr,0,0,1
52,1,1,1,49,1,0,76.729202,1,1,"[40, 60)",Mrs,1,0,0
53,1,2,1,29,1,0,26.0,1,1,"[20, 40)",Mrs,0,0,1
54,0,1,0,65,0,1,61.979198,1,1,"[60, 80)",Mr,1,0,0
55,1,1,0,42,0,0,35.5,0,0,"[40, 60)",Mr,0,0,1
56,1,2,1,21,0,0,10.5,0,0,"[20, 40)",Miss,0,0,1
57,0,3,0,28,0,0,7.2291999,0,0,"[20, 40)",Mr,1,0,0
58,1,2,1,5,1,2,27.75,3,0,"[0, 20)",Miss,0,0,1
59,0,3,0,11,5,2,46.900002,7,0,"[0, 20)",Master,0,0,1
60,0,3,0,22,0,0,7.2291999,0,0,"[20, 40)",Mr,1,0,0
61,0,1,0,45,1,0,83.474998,1,1,"[40, 60)",Mr,0,0,1
62,0,3,0,4,3,2,27.9,5,0,"[0, 20)",Master,0,0,1
63,0,1,0,40,0,0,27.7208,0,0,"[40, 60)",Mr,1,0,0
64,1,3,0,17,1,1,15.2458,2,0,"[0, 20)",Master,1,0,0
65,0,2,0,25,0,0,13.0,0,0,"[20, 40)",Mr,0,0,1
66,0,2,0,23,0,0,15.0458,0,0,"[20, 40)",Mr,1,0,0
67,1,1,1,19,0,2,26.2833,2,0,"[0, 20)",Miss,0,0,1
68,0,1,0,37,1,0,53.099998,1,1,"[20, 40)",Mr,0,0,1
69,0,3,0,16,0,0,9.2166996,0,0,"[0, 20)",Mr,0,0,1
70,0,1,0,24,0,0,79.199997,0,0,"[20, 40)",Mr,1,0,0
71,0,3,1,26,0,2,15.2458,2,0,"[20, 40)",Mrs,1,0,0
72,1,3,1,22,0,0,7.75,0,0,"[20, 40)",Miss,0,0,1
73,1,3,1,24,1,0,15.85,1,1,"[20, 40)",Mrs,0,0,1
74,0,3,0,19,0,0,6.75,0,0,"[0, 20)",Mr,0,1,0
75,0,2,0,18,0,0,11.5,0,0,"[0, 20)",Mr,0,0,1
76,0,2,0,19,1,1,36.75,2,0,"[0, 20)",Mr,0,0,1
77,1,3,0,27,0,0,7.7958002,0,0,"[20, 40)",Mr,0,0,1
78,0,3,1,9,2,2,34.375,4,0,"[0, 20)",Miss,0,0,1
79,0,2,0,36,0,2,26.0,2,0,"[20, 40)",Mr,0,0,1
80,0,2,0,42,0,0,13.0,0,0,"[40, 60)",Valued Profession,0,0,1
81,0,2,0,51,0,0,12.525,0,0,"[40, 60)",Valued Profession,0,0,1
82,1,1,1,22,1,0,66.599998,1,1,"[20, 40)",Mrs,0,0,1
83,0,3,0,55,0,0,8.0500002,0,0,"[40, 60)",Mr,0,0,1
84,0,3,0,40,0,2,14.5,2,0,"[40, 60)",Mr,0,0,1
85,0,3,0,30,0,0,7.3125,0,0,"[20, 40)",Mr,0,0,1
86,0,1,0,51,0,1,61.3792,1,1,"[40, 60)",Mr,1,0,0
87,1,3,1,16,0,0,7.7333002,0,0,"[0, 20)",Miss,0,1,0
88,0,3,0,30,0,0,8.0500002,0,0,"[20, 40)",Mr,0,0,1
89,0,3,0,26,0,0,8.6625004,0,0,"[20, 40)",Mr,0,0,1
90,0,3,0,11,8,2,69.550003,10,0,"[0, 20)",Master,0,0,1
91,0,3,0,44,0,1,16.1,1,1,"[40, 60)",Mr,0,0,1
92,1,2,1,40,0,0,15.75,0,0,"[40, 60)",Mrs,0,0,1
93,0,3,0,26,0,0,7.7750001,0,0,"[20, 40)",Mr,0,0,1
94,0,3,0,17,0,0,8.6625004,0,0,"[0, 20)",Mr,0,0,1
95,0,3,0,1,4,1,39.6875,5,0,"[0, 20)",Master,0,0,1
96,1,3,0,9,0,2,20.525,2,0,"[0, 20)",Master,0,0,1
97,1,1,1,26,0,1,55.0,1,1,"[20, 40)",Mrs,0,0,1
98,0,3,1,45,1,4,27.9,5,0,"[40, 60)",Mrs,0,0,1
99,0,1,0,49,0,0,25.924999,0,0,"[40, 60)",Mr,0,0,1
100,0,3,0,28,0,0,56.4958,0,0,"[20, 40)",Mr,0,0,1
101,0,1,0,61,0,0,33.5,0,0,"[60, 80)",Mr,0,0,1
102,0,3,0,4,4,1,29.125,5,0,"[0, 20)",Master,0,1,0
103,1,3,1,1,1,1,11.1333,2,0,"[0, 20)",Miss,0,0,1
104,0,3,0,21,0,0,7.9250002,0,0,"[20, 40)",Mr,0,0,1
105,0,1,0,56,0,0,30.695801,0,0,"[40, 60)",Mr,1,0,0
106,0,3,0,18,1,1,7.8541999,2,0,"[0, 20)",Mr,0,0,1
107,0,3,0,6,3,1,25.4667,4,0,"[0, 20)",Master,0,0,1
108,0,1,1,50,0,0,28.7125,0,0,"[40, 60)",Miss,1,0,0
109,0,2,0,30,0,0,13.0,0,0,"[20, 40)",Mr,0,0,1
110,0,3,0,36,0,0,0.0,0,0,"[20, 40)",Mr,0,0,1
111,0,3,1,11,8,2,69.550003,10,0,"[0, 20)",Miss,0,0,1
112,0,2,0,30,0,0,15.05,0,0,"[20, 40)",Mr,1,0,0
113,0,3,0,9,4,2,31.387501,6,0,"[0, 20)",Master,0,0,1
114,1,2,0,1,2,1,39.0,3,0,"[0, 20)",Master,0,0,1
115,1,3,1,4,0,2,22.025,2,0,"[0, 20)",Miss,0,0,1
116,0,1,0,44,0,0,50.0,0,0,"[40, 60)",Mr,0,0,1
117,1,3,1,33,1,0,15.5,1,1,"[20, 40)",Mrs,0,1,0
118,1,1,0,45,0,0,26.549999,0,0,"[40, 60)",Mr,0,0,1
119,0,3,0,40,1,1,15.5,2,0,"[40, 60)",Mr,0,1,0
120,0,3,0,36,0,0,7.8958001,0,0,"[20, 40)",Mr,0,0,1
121,1,2,1,32,0,0,13.0,0,0,"[20, 40)",Mrs,0,0,1
122,0,2,0,19,0,0,13.0,0,0,"[0, 20)",Mr,0,0,1
123,1,3,1,19,1,0,7.8541999,1,1,"[0, 20)",Miss,0,0,1
124,1,2,0,3,1,1,26.0,2,0,"[0, 20)",Master,0,0,1
125,1,1,1,44,0,0,27.7208,0,0,"[40, 60)",Mrs,1,0,0
126,1,1,1,58,0,0,146.5208,0,0,"[40, 60)",Miss,1,0,0
127,0,3,0,35,0,0,7.75,0,0,"[20, 40)",Mr,0,1,0
128,0,3,0,42,0,1,8.4041996,1,1,"[40, 60)",Mr,0,0,1
129,1,3,1,35,0,0,7.75,0,0,"[20, 40)",Miss,0,1,0
130,0,2,1,24,0,0,13.0,0,0,"[20, 40)",Miss,0,0,1
131,0,3,0,28,0,0,9.5,0,0,"[20, 40)",Mr,0,0,1
132,0,3,0,11,8,2,69.550003,10,0,"[0, 20)",Mr,0,0,1
133,0,3,0,34,0,0,6.4958,0,0,"[20, 40)",Mr,0,0,1
134,0,3,0,45,0,0,7.2249999,0,0,"[40, 60)",Mr,1,0,0
135,1,3,0,18,0,0,8.0500002,0,0,"[0, 20)",Mr,0,0,1
136,0,3,1,2,0,1,10.4625,1,1,"[0, 20)",Miss,0,0,1
137,0,3,0,32,1,0,15.85,1,1,"[20, 40)",Mr,0,0,1
138,1,3,0,26,0,0,18.7875,0,0,"[20, 40)",Mr,1,0,0
139,1,3,1,16,0,0,7.75,0,0,"[0, 20)",Miss,0,1,0
140,1,1,0,40,0,0,31.0,0,0,"[40, 60)",Mr,1,0,0
141,0,3,0,24,0,0,7.0500002,0,0,"[20, 40)",Mr,0,0,1
142,1,2,1,35,0,0,21.0,0,0,"[20, 40)",Miss,0,0,1
143,0,3,0,22,0,0,7.25,0,0,"[20, 40)",Mr,0,0,1
144,0,2,0,30,0,0,13.0,0,0,"[20, 40)",Mr,0,0,1
145,0,3,0,30,1,0,7.75,1,1,"[20, 40)",Mr,0,1,0
146,1,1,1,31,1,0,113.275,1,1,"[20, 40)",Miss,1,0,0
147,1,3,1,27,0,0,7.9250002,0,0,"[20, 40)",Miss,0,0,1
148,0,2,0,42,1,0,27.0,1,1,"[40, 60)",Mr,0,0,1
149,1,1,1,32,0,0,76.291702,0,0,"[20, 40)",Miss,1,0,0
150,0,2,0,30,0,0,10.5,0,0,"[20, 40)",Mr,0,0,1
151,1,3,0,16,0,0,8.0500002,0,0,"[0, 20)",Mr,0,0,1
152,0,2,0,27,0,0,13.0,0,0,"[20, 40)",Mr,0,0,1
153,0,3,0,51,0,0,8.0500002,0,0,"[40, 60)",Mr,0,0,1
154,0,3,0,27,0,0,7.8958001,0,0,"[20, 40)",Mr,0,0,1
155,1,1,0,38,1,0,90.0,1,1,"[20, 40)",Mr,0,0,1
156,0,3,0,22,0,0,9.3500004,0,0,"[20, 40)",Mr,0,0,1
157,1,2,0,19,0,0,10.5,0,0,"[0, 20)",Mr,0,0,1
158,0,3,0,20,0,0,7.25,0,0,"[20, 40)",Mr,0,0,1
159,0,2,0,18,0,0,13.0,0,0,"[0, 20)",Mr,0,0,1
160,0,3,1,6,3,1,25.4667,4,0,"[0, 20)",Miss,0,0,1
161,1,1,1,35,1,0,83.474998,1,1,"[20, 40)",Mrs,0,0,1
162,0,3,0,29,0,0,7.7750001,0,0,"[20, 40)",Mr,0,0,1
163,0,2,0,59,0,0,13.5,0,0,"[40, 60)",Mr,0,0,1
164,1,3,1,5,4,2,31.387501,6,0,"[0, 20)",Miss,0,0,1
165,0,2,0,24,0,0,10.5,0,0,"[20, 40)",Mr,0,0,1
166,0,3,1,32,0,0,7.5500002,0,0,"[20, 40)",Miss,0,0,1
167,0,2,0,44,1,0,26.0,1,1,"[40, 60)",Mr,0,0,1
168,1,2,1,8,0,2,26.25,2,0,"[0, 20)",Miss,0,0,1
169,0,2,0,19,0,0,10.5,0,0,"[0, 20)",Mr,0,0,1
170,0,2,0,33,0,0,12.275,0,0,"[20, 40)",Mr,0,0,1
171,0,3,1,20,1,0,14.4542,1,1,"[20, 40)",Miss,1,0,0
172,1,3,1,33,1,0,15.5,1,1,"[20, 40)",Miss,0,1,0
173,0,2,0,29,0,0,10.5,0,0,"[20, 40)",Mr,0,0,1
174,0,3,0,22,0,0,7.125,0,0,"[20, 40)",Mr,0,0,1
175,0,3,0,30,0,0,7.2249999,0,0,"[20, 40)",Mr,1,0,0
176,0,1,0,44,2,0,90.0,2,0,"[40, 60)",Valued Profession,0,1,0
177,0,3,1,25,0,0,7.7750001,0,0,"[20, 40)",Miss,0,0,1
178,1,2,1,24,0,2,14.5,2,0,"[20, 40)",Mrs,0,0,1
179,1,1,0,37,1,1,52.554199,2,0,"[20, 40)",Mr,0,0,1
180,0,2,0,54,1,0,26.0,1,1,"[40, 60)",Valued Profession,0,0,1
181,0,3,0,30,0,0,7.25,0,0,"[20, 40)",Mr,0,0,1
182,0,3,1,29,1,1,10.4625,2,0,"[20, 40)",Mrs,0,0,1
183,0,1,0,62,0,0,26.549999,0,0,"[60, 80)",Mr,0,0,1
184,0,3,0,30,1,0,16.1,1,1,"[20, 40)",Mr,0,0,1
185,0,3,1,41,0,2,20.2125,2,0,"[40, 60)",Mrs,0,0,1
186,1,3,1,29,0,2,15.2458,2,0,"[20, 40)",Mrs,1,0,0
187,1,1,1,34,0,0,79.199997,0,0,"[20, 40)",Mrs,1,0,0
188,1,1,1,30,0,0,86.5,0,0,"[20, 40)",Miss,0,0,1
189,1,1,1,35,0,0,512.32922,0,0,"[20, 40)",Miss,1,0,0
190,1,2,1,50,0,1,26.0,1,1,"[40, 60)",Mrs,0,0,1
191,0,3,0,35,0,0,7.75,0,0,"[20, 40)",Mr,0,1,0
192,1,3,0,3,4,2,31.387501,6,0,"[0, 20)",Master,0,0,1
193,0,1,0,52,1,1,79.650002,2,0,"[40, 60)",Mr,0,0,1
194,0,1,0,40,0,0,0.0,0,0,"[40, 60)",Mr,0,0,1
195,0,3,1,35,0,0,7.75,0,0,"[20, 40)",Miss,0,1,0
196,0,2,0,36,0,0,10.5,0,0,"[20, 40)",Mr,0,0,1
197,0,3,0,16,4,1,39.6875,5,0,"[0, 20)",Mr,0,0,1
198,1,3,0,25,1,0,7.7750001,1,1,"[20, 40)",Mr,0,0,1
199,1,1,1,58,0,1,153.46249,1,1,"[40, 60)",Mrs,0,0,1
200,1,1,1,35,0,0,135.6333,0,0,"[20, 40)",Miss,0,0,1
201,0,1,0,36,0,0,31.0,0,0,"[20, 40)",Mr,0,0,1
202,1,3,0,25,0,0,0.0,0,0,"[20, 40)",Mr,0,0,1
203,1,2,1,41,0,1,19.5,1,1,"[40, 60)",Mrs,0,0,1
204,0,1,0,37,0,1,29.700001,1,1,"[20, 40)",Mr,1,0,0
205,1,3,1,35,0,0,7.75,0,0,"[20, 40)",Miss,0,1,0
206,1,1,1,63,1,0,77.958298,1,1,"[60, 80)",Miss,0,0,1
207,0,3,1,45,0,0,7.75,0,0,"[40, 60)",Miss,0,0,1
208,0,2,0,35,0,0,0.0,0,0,"[20, 40)",Mr,0,0,1
209,0,3,0,7,4,1,29.125,5,0,"[0, 20)",Master,0,1,0
210,1,3,1,35,1,1,20.25,2,0,"[20, 40)",Mrs,0,0,1
211,0,3,0,65,0,0,7.75,0,0,"[60, 80)",Mr,0,1,0
212,0,3,0,28,0,0,7.8541999,0,0,"[20, 40)",Mr,0,0,1
213,0,3,0,16,0,0,9.5,0,0,"[0, 20)",Mr,0,0,1
214,1,3,0,19,0,0,8.0500002,0,0,"[0, 20)",Mr,0,0,1
215,0,1,0,57,0,0,26.0,0,0,"[40, 60)",Mr,0,0,1
216,0,3,0,33,0,0,8.6625004,0,0,"[20, 40)",Mr,1,0,0
217,1,3,0,30,0,0,9.5,0,0,"[20, 40)",Mr,0,0,1
218,0,3,0,22,0,0,7.8958001,0,0,"[20, 40)",Mr,0,0,1
219,1,2,0,42,0,0,13.0,0,0,"[40, 60)",Mr,0,0,1
220,1,3,1,22,0,0,7.75,0,0,"[20, 40)",Miss,0,1,0
221,1,1,1,26,0,0,78.849998,0,0,"[20, 40)",Miss,0,0,1
222,1,1,1,19,1,0,91.079201,1,1,"[0, 20)",Mrs,1,0,0
223,0,2,0,36,0,0,12.875,0,0,"[20, 40)",Mr,1,0,0
224,0,3,1,24,0,0,8.8500004,0,0,"[20, 40)",Miss,0,0,1
225,0,3,0,24,0,0,7.8958001,0,0,"[20, 40)",Mr,0,0,1
226,0,1,0,40,0,0,27.7208,0,0,"[40, 60)",Mr,1,0,0
227,0,3,0,23,0,0,7.2291999,0,0,"[20, 40)",Mr,1,0,0
228,0,1,1,2,1,2,151.55,3,0,"[0, 20)",Miss,0,0,1
229,1,1,0,41,0,0,30.5,0,0,"[40, 60)",Mr,0,0,1
230,1,1,1,50,0,1,247.5208,1,1,"[40, 60)",Mrs,1,0,0
231,1,3,1,35,0,0,7.75,0,0,"[20, 40)",Miss,0,1,0
232,1,3,0,22,2,0,23.25,2,0,"[20, 40)",Mr,0,1,0
233,0,3,0,19,0,0,0.0,0,0,"[0, 20)",Mr,0,0,1
234,1,2,1,42,0,0,12.35,0,0,"[40, 60)",Miss,0,1,0
235,0,3,0,30,0,0,8.0500002,0,0,"[20, 40)",Mr,0,0,1
236,1,1,0,0,1,2,151.55,3,0,"[0, 20)",Master,0,0,1
237,1,1,1,28,0,0,110.8833,0,0,"[20, 40)",Miss,1,0,0
238,1,1,1,17,1,0,108.9,1,1,"[0, 20)",Mrs,1,0,0
239,0,2,0,30,1,0,24.0,1,1,"[20, 40)",Mr,1,0,0
240,1,1,1,30,0,0,56.929199,0,0,"[20, 40)",Miss,1,0,0
241,1,1,1,24,0,0,83.158302,0,0,"[20, 40)",Miss,1,0,0
242,1,1,1,18,2,2,262.375,4,0,"[0, 20)",Miss,1,0,0
243,0,2,1,26,1,1,26.0,2,0,"[20, 40)",Mrs,0,0,1
244,0,3,0,28,0,0,7.8958001,0,0,"[20, 40)",Mr,0,0,1
245,0,2,0,43,1,1,26.25,2,0,"[40, 60)",Mr,0,0,1
246,1,3,1,26,0,0,7.8541999,0,0,"[20, 40)",Miss,0,0,1
247,1,2,1,24,1,0,26.0,1,1,"[20, 40)",Mrs,0,0,1
248,0,2,0,54,0,0,14.0,0,0,"[40, 60)",Valued Profession,0,0,1
249,1,1,1,31,0,2,164.8667,2,0,"[20, 40)",Miss,0,0,1
250,1,1,1,40,1,1,134.5,2,0,"[40, 60)",Mrs,1,0,0
251,0,3,0,22,0,0,7.25,0,0,"[20, 40)",Mr,0,0,1
252,0,3,0,27,0,0,7.8958001,0,0,"[20, 40)",Mr,0,0,1
253,1,2,1,30,0,0,12.35,0,0,"[20, 40)",Miss,0,1,0
254,1,2,1,22,1,1,29.0,2,0,"[20, 40)",Mrs,0,0,1
255,0,3,0,11,8,2,69.550003,10,0,"[0, 20)",Mr,0,0,1
256,1,1,1,36,0,0,135.6333,0,0,"[20, 40)",Miss,1,0,0
257,0,3,0,61,0,0,6.2375002,0,0,"[60, 80)",Mr,0,0,1
258,1,2,1,36,0,0,13.0,0,0,"[20, 40)",Mrs,0,0,1
259,1,3,1,31,1,1,20.525,2,0,"[20, 40)",Mrs,0,0,1
260,1,1,1,16,0,1,57.979198,1,1,"[0, 20)",Miss,1,0,0
261,1,3,1,22,2,0,23.25,2,0,"[20, 40)",Miss,0,1,0
262,0,1,0,45,0,0,28.5,0,0,"[40, 60)",Mr,0,0,1
263,0,1,0,38,0,1,153.46249,1,1,"[20, 40)",Mr,0,0,1
264,0,3,0,16,2,0,18.0,2,0,"[0, 20)",Mr,0,0,1
265,1,1,1,30,1,0,133.64999,1,1,"[20, 40)",Mrs,0,0,1
266,0,3,0,27,0,0,7.8958001,0,0,"[20, 40)",Mr,0,0,1
267,0,1,0,29,1,0,66.599998,1,1,"[20, 40)",Mr,0,0,1
268,1,1,1,41,0,0,134.5,0,0,"[40, 60)",Miss,1,0,0
269,1,3,0,45,0,0,8.0500002,0,0,"[40, 60)",Mr,0,0,1
270,0,1,0,45,0,0,35.5,0,0,"[40, 60)",Mr,0,0,1
271,1,2,0,2,1,1,26.0,2,0,"[0, 20)",Master,0,0,1
272,1,1,1,24,3,2,263.0,5,0,"[20, 40)",Miss,0,0,1
273,0,2,0,28,0,0,13.0,0,0,"[20, 40)",Mr,0,0,1
274,0,2,0,25,0,0,13.0,0,0,"[20, 40)",Mr,0,0,1
275,0,2,0,36,0,0,13.0,0,0,"[20, 40)",Mr,0,0,1
276,1,2,1,24,0,0,13.0,0,0,"[20, 40)",Miss,0,0,1
277,1,2,1,40,0,0,13.0,0,0,"[40, 60)",Miss,0,0,1
278,1,3,1,26,1,0,16.1,1,1,"[20, 40)",Mrs,0,0,1
279,1,3,0,3,1,1,15.9,2,0,"[0, 20)",Master,0,0,1
280,0,3,0,42,0,0,8.6625004,0,0,"[40, 60)",Mr,0,0,1
281,0,3,0,23,0,0,9.2250004,0,0,"[20, 40)",Mr,0,0,1
282,0,1,0,60,0,0,35.0,0,0,"[60, 80)",Mr,0,0,1
283,0,3,0,15,1,1,7.2291999,2,0,"[0, 20)",Mr,1,0,0
284,0,3,0,25,1,0,17.799999,1,1,"[20, 40)",Mr,0,0,1
285,0,3,0,29,0,0,7.2249999,0,0,"[20, 40)",Mr,1,0,0
286,0,3,0,28,0,0,9.5,0,0,"[20, 40)",Mr,0,0,1
287,1,1,1,22,0,1,55.0,1,1,"[20, 40)",Miss,0,0,1
288,0,2,1,38,0,0,13.0,0,0,"[20, 40)",Miss,0,0,1
289,1,3,1,22,0,0,7.8792,0,0,"[20, 40)",Miss,0,1,0
290,1,3,1,22,0,0,7.8792,0,0,"[20, 40)",Miss,0,1,0
291,0,3,0,40,1,4,27.9,5,0,"[40, 60)",Mr,0,0,1
292,0,2,0,29,1,0,27.7208,1,1,"[20, 40)",Mr,1,0,0
293,0,3,1,45,0,1,14.4542,1,1,"[40, 60)",Mrs,1,0,0
294,0,3,0,35,0,0,7.0500002,0,0,"[20, 40)",Mr,0,0,1
295,0,3,0,33,1,0,15.5,1,1,"[20, 40)",Mr,0,1,0
296,0,3,0,30,0,0,7.25,0,0,"[20, 40)",Mr,0,0,1
